#  time               r              phi             Phi             Pi            delta              A            Ricci
1.4529866023    1.4137166941   -0.0001339831    0.0023265249   -0.0034918508   -8.1452496547    0.9987367904  -12.0000002596
1.4726215564    0.1413716694    1.7675157997   -8.5044266566   -3.7712450037   -0.5941027974    0.6372590684   73.0795632217
1.4726215564    0.2827433388    0.1721471634   -7.7499622566   -7.9152053284   -7.9275482463    0.0351520448  -12.0492827005
1.4726215564    0.4241150082    0.0123735782   -0.1753474191   -0.4436707710   -8.2168119162    0.4242999994  -12.1164684856
1.4726215564    0.5654866776    0.0007011213   -0.0316589375   -0.2368416244   -8.2232903541    0.6458800863  -12.0507309829
1.4726215564    0.7068583471   -0.0013262410   -0.0037277659   -0.1629279388   -8.2258990846    0.7851553938  -12.0240831620
1.4726215564    0.8482300165   -0.0013710621    0.0012118882   -0.1200614519   -8.2272924390    0.8767855934  -12.0110459590
1.4726215564    0.9896016859   -0.0012778551   -0.0002664932   -0.0875224624   -8.2280273373    0.9362610046  -12.0043170409
1.4726215564    1.1309733553   -0.0013474175    0.0003261743   -0.0555849787   -8.2283466083    0.9723500251  -12.0010819730
1.4726215564    1.2723450247   -0.0009376878    0.0053275325   -0.0222623079   -8.2284250828    0.9913423298  -12.0000765762
1.4726215564    1.4137166941   -0.0001991412    0.0036496328   -0.0031408620   -8.2284313429    0.9987368509  -11.9999996725
1.4922565105    0.1413716694    1.7674938827   -8.5045068711   -3.7723171995   -0.5941910096    0.6372259231   73.0670790606
1.4922565105    0.2827433388    0.1681034178   -7.8893183943   -8.0666258648   -8.0073070317    0.0345566508  -12.0672747633
1.4922565105    0.4241150082    0.0087361894   -0.1692173325   -0.4390529172   -8.3002239215    0.4241006844  -12.1153368075
1.4922565105    0.5654866776   -0.0022746679   -0.0279026034   -0.2344408782   -8.3065299038    0.6458283593  -12.0498723746
1.4922565105    0.7068583471   -0.0038249859   -0.0005928032   -0.1617367803   -8.3090862202    0.7851512522  -12.0236927080
1.4922565105    0.8482300165   -0.0034347149    0.0042937365   -0.1196938085   -8.3104648889    0.8767905643  -12.0109257416
1.4922565105    0.9896016859   -0.0028877598    0.0031680221   -0.0874666702   -8.3111986629    0.9362630176  -12.0042790900
1.4922565105    1.1309733553   -0.0024003086    0.0048246445   -0.0545119508   -8.3115151610    0.9723520428  -12.0010163731
1.4922565105    1.2723450247   -0.0013567217    0.0092363111   -0.0207018221   -8.3115904141    0.9913440279  -12.0000514791
